                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.00873,                0.76582,                0.95284,                0.97851,                0.85226,                0.91175,                0.81162,                0.00686,                0.48352,                0.89614,              0.0028281,              0.0028281,              0.0028281
                    105,                0.00873,                0.76641,                  0.953,                0.97858,                0.85244,                0.91184,                0.81181,                0.00685,                0.48269,                0.89585,              0.0027578,              0.0027578,              0.0027578
                    106,                0.00871,                0.76322,                0.95229,                0.97883,                0.85225,                0.91201,                0.81193,                0.00685,                0.48222,                0.89586,              0.0026875,              0.0026875,              0.0026875
                    107,                 0.0087,                0.76138,                0.95198,                0.97912,                0.85233,                0.91214,                0.81207,                0.00685,                0.48176,                0.89593,              0.0026172,              0.0026172,              0.0026172
                    108,                0.00868,                0.75867,                0.95128,                 0.9791,                0.85268,                0.91225,                0.81236,                0.00685,                0.48109,                0.89572,              0.0025469,              0.0025469,              0.0025469
                    109,                0.00866,                 0.7564,                0.95074,                0.97897,                  0.853,                0.91237,                0.81244,                0.00685,                0.48071,                0.89563,              0.0024766,              0.0024766,              0.0024766
                    110,                0.00864,                  0.756,                0.95022,                0.97866,                0.85322,                0.91245,                0.81295,                0.00683,                0.48001,                0.89527,              0.0024062,              0.0024062,              0.0024062
                    111,                0.00865,                0.75329,                0.94992,                 0.9788,                 0.8533,                0.91258,                0.81282,                0.00685,                0.47994,                0.89544,              0.0023359,              0.0023359,              0.0023359
                    112,                0.00865,                0.75474,                0.95008,                0.97905,                 0.8534,                0.91267,                0.81278,                0.00685,                0.47955,                0.89551,              0.0022656,              0.0022656,              0.0022656
                    113,                0.00861,                0.75155,                0.94915,                0.97893,                0.85352,                0.91283,                0.81261,                0.00686,                0.47944,                0.89584,              0.0021953,              0.0021953,              0.0021953
                    114,                0.00861,                0.74956,                0.94885,                0.97949,                 0.8533,                0.91295,                0.81234,                0.00688,                0.47932,                 0.8962,               0.002125,               0.002125,               0.002125
                    115,                0.00858,                0.74646,                0.94786,                0.97911,                0.85378,                0.91306,                0.81281,                0.00686,                0.47883,                0.89586,              0.0020547,              0.0020547,              0.0020547
                    116,                0.00859,                0.74843,                0.94805,                0.97925,                0.85383,                0.91316,                 0.8136,                0.00683,                0.47763,                0.89494,              0.0019844,              0.0019844,              0.0019844
